N   | TYPE            | VALUE         
----+-----------------+---------------
1   | KEYWORD         | int           
2   | IDENTIFIER      | sum_to        
3   | DELIMITER       | (             
4   | KEYWORD         | int           
5   | IDENTIFIER      | n             
6   | DELIMITER       | )             
7   | DELIMITER       | {             
8   | KEYWORD         | int           
9   | IDENTIFIER      | total         
10  | OPERATOR        | =             
11  | CONSTANT_INT    | 0             
12  | DELIMITER       | ;             
13  | KEYWORD         | int           
14  | IDENTIFIER      | i             
15  | OPERATOR        | =             
16  | CONSTANT_INT    | 1             
17  | DELIMITER       | ;             
18  | KEYWORD         | while         
19  | DELIMITER       | (             
20  | IDENTIFIER      | i             
21  | OPERATOR        | <=            
22  | IDENTIFIER      | n             
23  | DELIMITER       | )             
24  | DELIMITER       | {             
25  | IDENTIFIER      | total         
26  | OPERATOR        | =             
27  | IDENTIFIER      | total         
28  | OPERATOR        | +             
29  | IDENTIFIER      | i             
30  | DELIMITER       | ;             
31  | IDENTIFIER      | i             
32  | OPERATOR        | =             
33  | IDENTIFIER      | i             
34  | OPERATOR        | +             
35  | CONSTANT_INT    | 1             
36  | DELIMITER       | ;             
37  | DELIMITER       | }             
38  | KEYWORD         | return        
39  | IDENTIFIER      | total         
40  | DELIMITER       | ;             
41  | DELIMITER       | }             
42  | KEYWORD         | int           
43  | IDENTIFIER      | main          
44  | DELIMITER       | (             
45  | DELIMITER       | )             
46  | DELIMITER       | {             
47  | KEYWORD         | int           
48  | IDENTIFIER      | limit         
49  | OPERATOR        | =             
50  | CONSTANT_INT    | 3             
51  | DELIMITER       | ;             
52  | KEYWORD         | double        
53  | IDENTIFIER      | scale         
54  | OPERATOR        | =             
55  | CONSTANT_REAL   | 1.5           
56  | DELIMITER       | ;             
57  | KEYWORD         | bool          
58  | IDENTIFIER      | enabled       
59  | OPERATOR        | =             
60  | CONSTANT_BOOL   | true          
61  | DELIMITER       | ;             
62  | KEYWORD         | const         
63  | KEYWORD         | char          
64  | OPERATOR        | *             
65  | IDENTIFIER      | label         
66  | OPERATOR        | =             
67  | CONSTANT_STRING | "sum // value"
68  | DELIMITER       | ;             
69  | KEYWORD         | int           
70  | IDENTIFIER      | result        
71  | OPERATOR        | =             
72  | IDENTIFIER      | sum_to        
73  | DELIMITER       | (             
74  | IDENTIFIER      | limit         
75  | DELIMITER       | )             
76  | DELIMITER       | ;             
77  | KEYWORD         | double        
78  | IDENTIFIER      | weighted      
79  | OPERATOR        | =             
80  | IDENTIFIER      | result        
81  | OPERATOR        | *             
82  | IDENTIFIER      | scale         
83  | DELIMITER       | ;             
84  | KEYWORD         | if            
85  | DELIMITER       | (             
86  | IDENTIFIER      | enabled       
87  | OPERATOR        | &&            
88  | IDENTIFIER      | result        
89  | OPERATOR        | >             
90  | CONSTANT_INT    | 0             
91  | DELIMITER       | )             
92  | DELIMITER       | {             
93  | IDENTIFIER      | result        
94  | OPERATOR        | =             
95  | IDENTIFIER      | result        
96  | OPERATOR        | +             
97  | CONSTANT_INT    | 2             
98  | DELIMITER       | ;             
99  | DELIMITER       | }             
100 | KEYWORD         | else          
101 | DELIMITER       | {             
102 | IDENTIFIER      | result        
103 | OPERATOR        | =             
104 | CONSTANT_INT    | 0             
105 | DELIMITER       | ;             
106 | DELIMITER       | }             
107 | KEYWORD         | return        
108 | IDENTIFIER      | result        
109 | DELIMITER       | ;             
110 | DELIMITER       | }             
